Date/Time,Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/01  12:00:00,883120771.9742478,148.65851903927228,0.03714547266247202,0.0012351132830261992,0.36274450645073814,0.0021364104467292214,0.7645450290420375,0.02612509686108258,0.015935914330275296,0.010189182530807278,0.000978824570033097,0.003288141232707156,0.0000029709419138294457,0.0,1855.2071305171812,0.0,0.0,40.71939207051519 
 01/01  13:00:00,874102362.5464115,147.14042159192672,0.03676614393248214,0.001222500334005435,0.3590401677230261,0.0021145934713777768,0.7567375124296672,0.025858307960501727,0.01577317713214999,0.010085130828351732,0.0009688288355755661,0.0032545628085163046,0.0000029406027219368844,0.0,1836.2617970957483,0.0,0.0,40.303566556046135 
 01/01  14:00:00,865868005.2805108,145.75430613044512,0.03641979369090673,0.001210983943089206,0.35565788077298555,0.0020946732436544005,0.7496087740795019,0.025614713439811764,0.015624588155286815,0.009990125284524948,0.0009597021210127597,0.0032239036614210314,0.0000029129011912843776,0.0,1818.9635534129802,0.0,0.0,39.92389252662734 
 01/01  15:00:00,859089476.058023,144.6132548184861,0.03613467790616213,0.0012015036412462775,0.3528735795592611,0.0020782748969005267,0.7437403911971882,0.02541418624338167,0.01550226959546702,0.009911916647914649,0.0009521890025784307,0.0031986650279963577,0.000002890097269985837,0.0,1804.723625934131,0.0,0.0,39.61134457414867 
 01/01  16:00:00,853184003.6867267,143.61916793387837,0.03588628428946962,0.0011932443775081747,0.350447889066334,0.002063988614358782,0.7386278406957134,0.02523948642586333,0.01539570534652698,0.009843781079336346,0.0009456435541662573,0.0031766770646068634,0.0000028702304341626643,0.0,1792.3177639048542,0.0,0.0,39.339051981244495 
 01/01  17:00:00,848045854.7958789,142.75424704315,0.035670165526082334,0.0011860582755087107,0.34833737899497164,0.0020515586100879986,0.734179585918291,0.025087486108670048,0.015302987449791633,0.009784498658878413,0.0009399485840801084,0.003157546092078592,0.000002852944981953008,0.0,1781.5238490038948,0.0,0.0,39.10213953864008 
 01/01  18:00:00,841685279.8849403,141.68355130536924,0.0354026295684084,0.00117716251537092,0.3457247537685788,0.0020361713616864523,0.7286730390400691,0.02489932312925222,0.015188210875523744,0.009711112253728475,0.0009328987136660714,0.0031338636363011964,0.0000028315471174721227,0.0,1768.1619348654895,0.0,0.0,38.808862841033495 
 01/01  19:00:00,784809669.8664601,132.1094995752747,0.033010350410055095,0.001097617538462494,0.32236292632665803,0.0018985801609541458,0.6794340603031603,0.023216789020758525,0.014161890492740269,0.009054898528018256,0.0008698594937898884,0.002922097540007188,0.000002640209602784553,0.0,1648.6810658752672,0.0,0.0,36.186412620080304 
 01/01  20:00:00,792307300.3567245,133.37159948318958,0.033325712744684405,0.001108103559518307,0.3254426005434256,0.0019167181287309738,0.6859249914451275,0.02343858917426287,0.014297185234937091,0.00914140393932578,0.0008781696424963827,0.0029500136175642,0.000002665432681422071,0.0,1664.4316381513856,0.0,0.0,36.53211726798527 
 01/01  21:00:00,789428732.762334,132.88704107496653,0.03320463558595618,0.0011040776582092796,0.32426022026832696,0.0019097544131493282,0.6834329262430682,0.0233534333726883,0.014245241482696316,0.009108191889991981,0.0008749791245317881,0.0029392957892686537,0.0000026557487770350782,0.0,1658.3845160631454,0.0,0.0,36.39939077553122 
 01/01  22:00:00,786193419.2432775,132.34243049435992,0.03306855312284304,0.0010995528198984245,0.32293130553443394,0.0019019276720965675,0.6806320150349019,0.02325772406344811,0.014186860250244942,0.009070863813203163,0.0008713932000866716,0.0029272496817368803,0.00000264486472941308,0.0,1651.587963541123,0.0,0.0,36.2502152563562 
 01/01  23:00:00,783119201.8874077,131.82493774157732,0.03293924662210738,0.0010952532871372866,0.32166856153285833,0.001894490648437941,0.6779705697691872,0.023166780413674613,0.014131385998058268,0.009035394415616342,0.000867985829795946,0.0029158033867714224,0.0000026345226318375034,0.0,1645.1298321729525,0.0,0.0,36.10846764289694 
