,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
17, 01/01  18:00:00,11.1,122047.89684399354,20.16915208034302,22.67554428850755,24.113667293787984,14.0,14.0,6.2389130330022144,6.475,0.0184807073444159,0.0006144966125002,0.0050693472699009,0.3803783320175305,0.1804735431804991,0.2761141805910698
18, 01/01  19:00:00,10.6,100828.00866828172,16.66243739855809,21.217263054675605,22.649619055877142,14.0,14.0,6.2389130330022144,6.475,0.0152675545298464,0.0005076570049461,0.0041879639362033,0.3142437579806406,0.1490954653602817,-0.4496479289839973
19, 01/01  20:00:00,10.6,100605.01628262652,16.625586560032076,21.16901981470603,22.59223485918976,14.0,14.0,6.2389130330022144,6.475,0.0152337886303439,0.000506534264865,0.0041787017869106,0.3135487728649483,0.1487657241112956,-0.5011412772594348
20, 01/01  21:00:00,8.9,100518.58824758753,16.611303805246592,21.136180694697224,22.55293025707081,14.0,14.0,6.2389130330022144,6.475,0.015220701545165,0.0005060991100108,0.004175111936247,0.3132794085198199,0.1486379220424607,-0.5362360428362745
21, 01/01  22:00:00,9.4,100463.72326446412,16.60223703542003,21.119481185518783,22.53326483547785,14.0,14.0,6.2389130330022144,6.475,0.0152123937928581,0.0005058228713607,0.0041728330796702,0.3131084145796841,0.1485567925993743,-0.553699823401708
22, 01/01  23:00:00,7.8,100427.19471174662,16.596200471463696,21.093484895678728,22.504754739440624,14.0,14.0,6.2389130330022144,6.475,0.0152068625751153,0.000505638954452,0.0041713158399325,0.3129945685379824,0.1485027774339626,-0.5796367705870629
23, 01/02  00:00:00,6.7,100390.88000657022,16.590199247105097,21.074117461611472,22.484039078954467,14.0,14.0,6.2389130330022144,6.475,0.0152013637385436,0.0005054561142401,0.0041698074825064,0.3128813889802849,0.1484490784872194,-0.5983817849044377
24, 01/02  01:00:00,8.9,68575.21188436743,11.332467934334751,18.85104742994317,20.26209538815997,14.0,14.0,6.2389130330022144,6.475,0.0103837792759038,0.0003452680176725,0.0028483207997697,0.213723672335515,0.1014029064257024,-1.3667436547376082
25, 01/02  02:00:00,6.1,68225.15698205814,11.274619247518212,18.737347377138367,20.13603282767077,14.0,14.0,6.2389130330022144,6.475,0.0103307733464995,0.0003435055329659,0.0028337810173628,0.212632680165243,0.1008852764610647,-1.390800125929343
26, 01/02  03:00:00,5.6,68083.2995099072,11.251176443475453,18.68417293566764,20.081681040789025,14.0,14.0,6.2389130330022144,6.475,0.0103092930383972,0.000342791297503,0.0028278888651196,0.2121905626848413,0.1006755102849344,-1.400915436296359
27, 01/02  04:00:00,3.9,68074.50606817743,11.249723274120276,18.647485367170784,20.043206135140515,14.0,14.0,6.2389130330022144,6.475,0.0103079615199741,0.0003427470235721,0.0028275236231861,0.2121631567664735,0.1006625073276795,-1.4106752672738296
28, 01/02  05:00:00,5.6,67945.75413354435,11.228446239305226,18.63731083442011,20.03420555141679,14.0,14.0,6.2389130330022144,6.475,0.0102884656754285,0.0003420987729285,0.0028221758188797,0.2117618844184349,0.1004721204514166,-1.4094759301730515
29, 01/02  06:00:00,7.2,67892.42746694825,11.219633685575692,18.63862570158392,20.03596907773247,14.0,14.0,6.2389130330022144,6.475,0.0102803908577176,0.0003418302795187,0.0028199608573874,0.2115956848441988,0.100393265733593,-1.4088983229211545
