,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
10, 01/01  11:00:00,9.4,98380.5793584533,16.257984923486642,22.806389485006683,22.94365358011316,10.0,10.0,3.553465,4.0690722500000005,0.0148969604762766,0.0004953344901047,0.0040863081976704,0.3066160224548633,0.1454764252076019,0.6520199490741386
11, 01/01  12:00:00,10.0,103140.66507860649,17.044617838005102,24.225612392048312,23.976602042953097,10.0,10.0,3.42801375,4.06717,0.0156177410337731,0.0005193009543035,0.0042840217853187,0.3214514560290014,0.1525152153709182,0.5151694512884686
12, 01/01  13:00:00,10.6,114150.4242459167,18.86404703552149,22.077925496111614,23.96057671832149,10.0,10.0,3.79840525,3.97878475,0.0172848581440633,0.0005747337793476,0.0047413200593596,0.3557648193582301,0.1687954651570188,0.0304553088677654
13, 01/01  14:00:00,11.1,114921.69621231104,18.99150438618274,23.17960475348325,23.300962864360688,10.0,10.0,3.605335,4.236009,0.0174016455026534,0.0005786170417627,0.0047733553957996,0.3581685899408889,0.1699359533434634,0.7833211426914859
14, 01/01  15:00:00,13.9,119608.6285912325,19.7660482692419,24.14412062839447,23.818778128935776,10.0,10.0,3.37646875,4.18451825,0.0181113490524707,0.0006022151876083,0.0049680305067494,0.3727760315000986,0.1768665708710442,0.5151933788141605
15, 01/01  16:00:00,13.9,121725.586659625,20.11588837573464,24.380381339324472,23.20111402947938,10.0,10.0,3.405126,4.28484675,0.0184319025690329,0.0006128738191412,0.0050559598843299,0.3793738099119257,0.1799969396299233,0.3727918758661372
16, 01/01  17:00:00,11.1,118461.94924464104,19.576552581673,24.11903932851224,23.34751279631059,10.0,10.0,3.4511235,4.08599775,0.0179377168476542,0.0005964417937824,0.0049204023544796,0.3692022544134444,0.1751709637371025,0.6375548026703615
17, 01/01  18:00:00,11.1,114823.9860391523,18.97535718993278,22.82663375460513,23.100815651622263,10.0,10.0,3.4036782500000005,4.22409175,0.0173868500562638,0.0005781250826879,0.0047692969334061,0.3578640633275809,0.1697914682551437,0.5645217576280528
18, 01/01  19:00:00,10.6,87594.36899732388,14.475498516348711,20.82407341699638,20.91607106272545,10.0,10.0,3.59451875,4.238646,0.0132636935196642,0.0004410272066527,0.0036382951842495,0.2729993783991199,0.1295267394555279,-1.21732917589897
19, 01/01  20:00:00,10.6,85941.49542878603,14.202351176366015,21.552075884449994,21.060496643825037,10.0,10.0,3.40637,4.146909,0.0130134124948587,0.0004327051852576,0.0035696418905113,0.2678479804046101,0.1270826174586965,-1.0030675837746317
20, 01/01  21:00:00,8.9,79430.36098432253,13.126346884429651,21.19294748930954,20.559311211898425,10.0,10.0,3.3645637500000003,4.249814,0.0120274850576814,0.000399922399457,0.0032991972333437,0.2475551730431467,0.1174545326354163,-1.1020818006877924
21, 01/01  22:00:00,9.4,75057.19782111525,12.40365525932425,20.503554316074094,21.11474545332564,10.0,10.0,3.59208075,4.02874525,0.0113652929947414,0.0003779040442113,0.0031175547526824,0.2339256345367388,0.1109878890358195,-1.120094163163824
22, 01/01  23:00:00,7.8,75037.66567872172,12.400427454826367,19.70731078399085,21.395231472094117,10.0,10.0,3.6870435,4.038341,0.0113623354033636,0.0003778057022026,0.0031167434710849,0.2338647600445395,0.1109590066459151,-1.1328111705246502
23, 01/02  00:00:00,6.7,75361.63957926742,12.453966098581292,20.147157252728103,21.381052808965517,10.0,10.0,3.701571,4.1842845,0.0114113921015783,0.0003794368721741,0.0031301999603053,0.2348744673405555,0.1114380703515701,-1.0914478318502685
24, 01/02  01:00:00,8.9,42348.49379185536,6.998344369286263,15.834487313681812,17.635359038960097,10.0,10.0,3.80467775,4.090537,0.0064124834633118,0.0002132196183015,0.0017589751805602,0.1319846539641002,0.0626211751337494,-1.6707906655032845
25, 01/02  02:00:00,6.1,44004.40927638431,7.271994404258604,16.308398457227415,17.259038497831877,10.0,10.0,3.490116,4.3064670000000005,0.0066632251003904,0.000221556955381,0.0018277548224693,0.1371455324901125,0.0650697952446096,-1.70933231713914
26, 01/02  03:00:00,5.6,43019.69459289801,7.109264355478093,15.937826923735402,17.11090976289701,10.0,10.0,3.5785940000000003,4.19183,0.0065141178699191,0.0002165990343276,0.0017868539890961,0.134076539590575,0.0636136870072198,-1.714131983822055
27, 01/02  04:00:00,3.9,44006.24970762908,7.272298546637366,16.119104485270164,17.117895390470053,10.0,10.0,3.40448925,4.064316,0.0066635037817286,0.0002215662217329,0.0018278312661061,0.1371512684362875,0.0650725167101679,-1.687779517078578
28, 01/02  05:00:00,5.6,42395.37051590033,7.006091031053816,15.776386307993702,17.121553120470693,10.0,10.0,3.598216,4.28397375,0.0064195816193697,0.0002134556370193,0.0017609222390446,0.1321307514435632,0.0626904922518633,-1.7207978043161811
29, 01/02  06:00:00,7.2,43870.1129486732,7.249801125001204,16.03035507942605,17.387749197464316,10.0,10.0,3.4349152499999995,4.0336982500000005,0.0066428897140868,0.0002208807893791,0.0018221767278044,0.136726980311404,0.0648712098144228,-1.6714307254819718
30, 01/02  07:00:00,7.8,69319.57228843226,11.455477986784569,18.599706217453527,19.65915397243005,10.0,10.0,3.690004,4.1085685,0.0104964916383616,0.0003490157835792,0.002879238345092,0.2160435694926122,0.1025036001942854,-1.506972881294975
31, 01/02  08:00:00,7.2,68759.0396787456,11.36284658761173,19.48731753571174,20.82716622072297,10.0,10.0,3.308234,3.9147345,0.0104116148040654,0.0003461935687049,0.0028559562195652,0.2142965958484324,0.1016747345705896,-1.2263379168703603
32, 01/02  09:00:00,10.6,99677.76045561244,16.472351934315117,21.565493157524863,22.516757392653336,10.0,10.0,3.6554095,4.23511275,0.0150933819210472,0.0005018656423049,0.0041401875485113,0.3106588580531921,0.147394580905527,-0.4764333650098855
33, 01/02  10:00:00,11.7,110053.8217696874,18.187058734269623,22.756617445775657,23.28253337662268,10.0,10.0,3.45567525,4.2129545,0.0166645433870923,0.0005541078741948,0.0045711647259556,0.3429972186281757,0.1627377748321118,0.5831037563084094
34, 01/02  11:00:00,13.9,116138.16730628916,19.192533581525183,22.577946103685637,23.391491666783768,10.0,10.0,3.5496267500000003,4.077435,0.0175858456966927,0.0005847418287176,0.0048238823985471,0.3619598821928676,0.1717347622880166,0.4194839203671545
35, 01/02  12:00:00,13.9,120102.46339435676,19.84765745304874,22.29017062342926,23.955265277194982,10.0,10.0,3.56576725,3.975562,0.018186126387509,0.0006047015869769,0.0049885422908582,0.3743151326526955,0.17759680972784,0.0830599489247854
36, 01/02  13:00:00,13.9,120885.6959092458,19.977091356586293,23.22625906811117,23.838787831574063,10.0,10.0,3.58279575,4.16156275,0.0183047248334028,0.0006086450693281,0.0050210744172915,0.3767561798587462,0.1787549841065175,0.6931071642938444
37, 01/02  14:00:00,13.9,121711.60598569084,20.11357798492861,22.28568410332112,23.17216353997726,10.0,10.0,3.715921,4.154806499999999,0.0184297855907798,0.0006128034281145,0.0050553791869719,0.3793302373017532,0.1799762662563856,0.1383508230057872
38, 01/02  15:00:00,12.2,119677.38183432122,19.777410157908,23.758359102509267,23.282338029272346,10.0,10.0,3.38764675,4.28744225,0.0181217597895449,0.0006025613519918,0.0049708862222034,0.3729903100301114,0.1769682370341345,0.7619863406527405
39, 01/02  16:00:00,12.8,119121.6501834468,19.685572146175005,22.95857983892449,22.890058173399304,10.0,10.0,3.46850225,4.399227,0.0180376099248818,0.0005997633093729,0.0049478035079575,0.371258299205876,0.1761464706400847,0.4833872879174063
40, 01/02  17:00:00,11.1,117154.03115735164,19.36041121837781,22.77985495362509,23.76794241689324,10.0,10.0,3.5769382500000004,4.06376175,0.017739669588941,0.0005898565821167,0.004866077035023,0.3651259555723867,0.1732369311359123,0.5496778987651398
41, 01/02  18:00:00,10.6,114062.49985301062,18.849516998560983,23.560809242155745,23.195329891179256,10.0,10.0,3.3711645,4.27230725,0.0172715444777426,0.0005742910905099,0.0047376680563946,0.3554907914168882,0.1686654504076452,0.8321569622258467
42, 01/02  19:00:00,11.7,91887.73720565133,15.185003543226422,20.54050627936857,21.05224360975924,10.0,10.0,3.51968225,4.19422575,0.0139138028900972,0.0004626438038121,0.0038166233240075,0.2863802254276286,0.1358753893935583,-1.3076321021375774
43, 01/02  20:00:00,11.7,89574.45109674842,14.802719042286222,20.82769788735692,20.840751305240385,10.0,10.0,3.5070615000000003,4.28672975,0.0135635210361035,0.0004509966839975,0.0037205393199082,0.2791705648407807,0.1324547082408337,-1.2685440720442152
44, 01/02  21:00:00,10.0,86883.39873145637,14.358006385900836,20.664371264533823,20.5678747661976,10.0,10.0,3.62580025,4.212729,0.0131560371506988,0.0004374475561117,0.0036087645223581,0.2707835460018568,0.1284754200449108,-1.2929210242128109
45, 01/02  22:00:00,8.9,78307.96999673914,12.940864994880071,20.886737041293483,20.865545854415387,10.0,10.0,3.28634125,4.067414,0.0118575306389334,0.0003942712946235,0.0032525779155529,0.2440570938236891,0.1157948409602541,-1.1222475701852956
46, 01/02  23:00:00,9.4,77689.72788025005,12.838696751162768,20.01789986538882,20.521147362836476,10.0,10.0,3.477945,4.1591055,0.0117639153295485,0.0003911585192614,0.0032268987841102,0.2421302609069882,0.1148806396655868,-1.278275701801074
47, 01/03  00:00:00,8.9,75743.44403770112,12.517061591303674,20.200119018055368,20.26297397970751,10.0,10.0,3.53964575,4.3380522500000005,0.0114692056046502,0.0003813592121112,0.0031460584833856,0.2360644111807308,0.1120026487277442,-1.2830931016531355
48, 01/03  01:00:00,9.4,43270.61502837801,7.150730472913371,16.484933269223653,16.906731560511364,10.0,10.0,3.5958840000000003,4.51624525,0.0065521126838794,0.0002178623888105,0.0017972761500465,0.1348585661488778,0.0639847257651048,-1.6812764283260238
49, 01/03  02:00:00,10.0,46296.6590510922,7.650802523920937,16.587098632808512,16.942236352007072,10.0,10.0,3.3084307500000003,4.40330775,0.0070103215956363,0.0002330981597604,0.0019229650672816,0.14428963057306,0.0684593697427678,-1.7559488964291066
50, 01/03  03:00:00,12.2,55289.48703669992,9.136921662097738,16.23102942318105,16.91360303418805,10.0,10.0,3.4788845,4.368573250000001,0.0083720314365942,0.0002783759767229,0.0022964886524999,0.1723169624463693,0.0817571616076281,-1.869871293286436
51, 01/03  04:00:00,13.9,71724.05524878122,11.852833318223515,17.956358088914286,18.65212442083501,9.999999999999998,9.999999999999998,3.3409587500000004,3.627702,0.0108605826801076,0.0003611220686702,0.0029791102760779,0.2235374570684974,0.1060591351161694,-1.5696958224555604
52, 01/03  05:00:00,12.8,68273.91793210316,11.282677289012335,22.47710026697363,22.753825970836168,20.005995000000045,16.619835000000037,2.593333500000001,2.934372250000001,0.0103381568153746,0.0003437510385371,0.0028358063385308,0.2127846500829992,0.1009573798045145,0.8413640749127909
53, 01/03  06:00:00,12.2,82391.35874460026,13.615669647712773,23.87682697882659,21.651678413393835,9.999999999999998,9.999999999999998,2.8669555000000004,3.767192750000002,0.0124758445498987,0.000414830670229,0.0034221844072352,0.2567835122303574,0.1218329920023148,-0.1432932911241866
54, 01/03  07:00:00,11.1,83781.67998966979,13.845428630517556,19.5444317062422,20.66786648473775,10.0,10.0,3.6996375,4.1011355,0.0126863694397925,0.0004218307719717,0.0034799324011805,0.2611166313568925,0.1238888750428686,-1.3986019473245863
55, 01/03  08:00:00,11.1,81751.8690104851,13.509990106854536,19.90303774962801,20.175582925654197,10.0,10.0,3.56538075,4.301429000000001,0.0123790118888571,0.000411610915645,0.0033956227406961,0.2547904583171385,0.1208873716259896,-1.4002312152198702
56, 01/03  09:00:00,11.7,109693.22872179696,18.127468555249067,23.018415103375315,22.54576248950283,10.0,10.0,3.461046,4.2060675,0.016609941753137,0.0005522923311813,0.0045561872340845,0.3418733829403801,0.1622045619977913,0.3746638850060284
57, 01/03  10:00:00,13.3,113858.35285785544,18.815780474634707,23.23227711410458,22.95671889632203,10.0,10.0,3.47071925,4.167778,0.0172406321804374,0.0005732632347236,0.004729188663965,0.3548545404407426,0.1683635760411216,0.663047812203269
58, 01/03  11:00:00,12.2,115047.56479699488,19.01230493000424,24.39551381349211,23.530953681899557,10.0,10.0,3.30893525,4.19646525,0.017420704745275,0.0005792507750831,0.0047785834380898,0.3585608759493617,0.1701220765790161,0.4672371537360478
59, 01/03  12:00:00,15.0,120953.27982361714,19.988260006619505,23.36157151258156,23.7511906935884,10.0,10.0,3.4425669999999995,4.0215465,0.0183149585086645,0.0006089853462809,0.0050238815638354,0.3769668140219276,0.1788549211706047,0.713654162435998
60, 01/03  13:00:00,15.6,123741.74024444207,20.4490699324925,24.38889331740577,23.909641482258166,10.0,10.0,3.36990625,4.1107657500000006,0.0187371920932762,0.0006230249121153,0.0051397022751058,0.3856574178848199,0.1829782477102511,0.3127390067794913
61, 01/03  14:00:00,16.1,114005.5237797094,18.840101358332284,24.90480566097321,23.55577884853968,10.0,10.0,3.2294305000000003,4.138632250000001,0.0172629170604454,0.0005740042227724,0.0047353015141673,0.3553132179863937,0.1685811992727131,0.0627726747597847
