,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)
22, 01/01  23:00:00,7.8,139396.69662396377,23.036146024703328,36.4600710590396,38.23114736429877,18.306128,17.598949,3.20291825,3.0783447500000003
23, 01/02  00:00:00,6.7,137943.70915162296,22.79603106935973,36.41224799880611,38.19501903965604,18.334585,17.621258,3.2071925,3.0827365
24, 01/02  01:00:00,8.9,109002.66115963952,18.013348094814514,33.07993840821428,34.75324796073767,19.662541,18.993432,3.36389875,3.24647875
25, 01/02  02:00:00,6.1,116070.948120219,19.181425205046573,33.323155417343514,34.883350225964335,19.568003,18.9335,3.43393225,3.320202
26, 01/02  03:00:00,5.6,113404.50957930413,18.740780131798456,33.07885385963999,34.68489601528678,19.653908,19.020215,3.43191575,3.322719
27, 01/02  04:00:00,3.9,117857.7943349956,19.47671233396844,33.11050215287938,34.69448335992596,19.658221,19.018627,3.441445,3.328875
28, 01/02  05:00:00,5.6,113684.0791154972,18.786980686157182,33.07937803234491,34.668598594893524,19.665705,19.03301,3.440535,3.330007
29, 01/02  06:00:00,7.2,116451.16952479354,19.244259088557637,33.09085750627916,34.67958841144507,19.665076,19.027783,3.441759,3.33023375
30, 01/02  07:00:00,7.8,139140.5244203962,22.993812020872724,35.61205640929729,37.30430750206077,18.620666,17.946599,3.31742075,3.2000735
31, 01/02  08:00:00,7.2,135352.16579524602,22.367762877697395,35.56158251372059,37.30062544894584,18.697696,18.005544,3.27052225,3.1508905
32, 01/02  09:00:00,10.6,159976.25397179349,26.43704216980512,38.65603622738657,40.51322869600163,17.455988,16.718967,3.13077975,3.0026375
33, 01/02  10:00:00,11.7,159082.8476406444,26.28940137771904,38.77376583127752,40.6681650750691,17.410041,16.66678,3.04999775,2.9206075
34, 01/02  11:00:00,13.9,161083.69717519634,26.62005384773944,39.02141051647703,40.92514938418648,17.314624,16.550552,3.03662325,2.90299575
35, 01/02  12:00:00,13.9,163620.54035382502,27.03928250465882,39.148458173684304,41.08862793209158,17.246858,16.475979,3.0217175000000003,2.8878265
36, 01/02  13:00:00,13.9,165446.55547654378,27.341042532184712,39.30050384938146,41.27876919362244,17.196257,16.405843,3.013647,2.87652775
37, 01/02  14:00:00,13.9,159866.45159895733,26.41889666452577,39.26182930070125,41.24714865868111,17.184749,16.395501,3.00623025,2.86807775
38, 01/02  15:00:00,12.2,156949.7525060344,25.9368945235716,39.225381386628186,41.23540265930148,17.206672,16.401832,3.01039725,2.87032
39, 01/02  16:00:00,12.8,154176.05438184034,25.478524156375983,39.13645046690784,41.12155503145191,17.233286,16.437071,3.013511,2.87347925
40, 01/02  17:00:00,11.1,154284.16785438516,25.49639056068181,39.07826367175268,41.05206410288304,17.26904,16.478553,3.0203497500000003,2.88173025
41, 01/02  18:00:00,10.6,153923.22139418754,25.436741978143004,39.004186403234606,40.960899471824064,17.289277,16.504483,3.02370525,2.88592925
42, 01/02  19:00:00,11.7,134547.7444348361,22.23482738946425,36.40073278092952,38.25287389003563,18.300185,17.556291,3.1394495,3.008164
