,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
28, 01/02  05:00:00,5.6,84697.54666,13.99678113,18.49131683,22.28091799,15.937256,15.587654,6.238913033,6.475,0.012825052,0.000426442,0.003517974,0.26397105,0.125243177,-0.462944365
29, 01/02  06:00:00,7.2,86039.89272,14.21861192,18.75146077,22.28796695,15.938358,15.585123,6.238913033,6.475,0.013028312,0.000433201,0.003573729,0.268154649,0.127228119,-0.513363865
30, 01/02  07:00:00,7.8,106209.1033,17.55169578,19.89002867,23.32717593,15.463366,15.117171,6.238913033,6.475,0.016082369,0.00053475,0.004411472,0.331014647,0.157052548,0.46294126
31, 01/02  08:00:00,7.2,108716.7845,17.96610525,20.95876738,23.59001431,15.433338,15.074571,6.238913033,6.475,0.016462087,0.000547376,0.00451563,0.338830166,0.160760683,0.59522755
32, 01/02  09:00:00,10.6,129246.8462,21.35882194,23.71158018,24.62285839,14.96509,14.609637,6.238913033,6.475,0.019570785,0.000650742,0.005368361,0.402814805,0.191118707,0.175037377
33, 01/02  10:00:00,11.7,132213.4813,21.84907631,23.34575537,24.9161219,14.904138,14.54201,6.238913033,6.475,0.020019998,0.000665679,0.005491582,0.412060714,0.195505503,-0.206074802
34, 01/02  11:00:00,13.9,131012.6362,21.65062941,23.81416659,24.9118509,14.911572,14.547966,6.238913033,6.475,0.019838164,0.000659633,0.005441704,0.408318122,0.1937298,-0.16700526
35, 01/02  12:00:00,13.9,134854.1494,22.28546267,23.77926562,24.9516076,14.879035,14.518479,6.238913033,6.475,0.020419853,0.000678975,0.005601264,0.420290704,0.199410287,-0.175129051
36, 01/02  13:00:00,13.9,136683.7958,22.58782278,23.68356326,25.01084271,14.869367,14.497771,6.238913033,6.475,0.020696901,0.000688187,0.00567726,0.425993037,0.202115805,-0.346577527
37, 01/02  14:00:00,13.9,130856.4596,21.62482027,23.09963271,24.98347234,14.873849,14.505878,6.238913033,6.475,0.019814515,0.000658847,0.005435217,0.407831377,0.19349886,-0.194805572
38, 01/02  15:00:00,12.2,133880.3982,22.12454439,24.04282771,24.97072809,14.876803,14.506936,6.238913033,6.475,0.020272406,0.000674072,0.005560819,0.41725588,0.197970391,-0.183563398
39, 01/02  16:00:00,12.8,128105.8629,21.17026757,23.36118034,24.92971671,14.892791,14.524712,6.238913033,6.475,0.019398015,0.000644998,0.005320969,0.399258781,0.189431523,-0.136948327
40, 01/02  17:00:00,11.1,128191.9908,21.18450072,23.40762588,24.91061222,14.901917,14.535075,6.238913033,6.475,0.019411057,0.000645431,0.005324547,0.39952721,0.189558881,-0.118930369
41, 01/02  18:00:00,10.6,127702.1479,21.10355122,23.80196131,24.86625573,14.915045,14.550088,6.238913033,6.475,0.019336884,0.000642965,0.005304201,0.39800055,0.188834545,-0.068699573
42, 01/02  19:00:00,11.7,108262.1408,17.89097264,22.81144013,24.03833237,15.296157,14.926843,6.238913033,6.475,0.016393244,0.000545087,0.004496746,0.337413209,0.160088397,0.695425235
43, 01/02  20:00:00,11.7,111363.1047,18.40342565,22.12323319,23.83122313,15.32188,14.976125,6.238913033,6.475,0.016862797,0.0005607,0.004625547,0.347077771,0.164673826,0.706749267
44, 01/02  21:00:00,10,113538.5622,18.76293314,21.96399399,23.87185452,15.298415,14.94142,6.238913033,6.475,0.017192209,0.000571653,0.004715906,0.353857871,0.167890698,0.718253064
45, 01/02  22:00:00,8.9,109294.282,18.0615402,22.58273464,23.83698497,15.323751,14.964855,6.238913033,6.475,0.016549533,0.000550284,0.004539617,0.340630013,0.161614635,0.698824338
