,Unnamed: 0_our,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_our,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_our,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_our,WEST ZONE:Zone Air Temperature [C](TimeStep)_our,EAST ZONE:Zone Air Temperature [C](TimeStep)_our,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_our,CH4:Facility [kg](Hourly)_our,PM2.5:Facility [kg](Hourly)_our,SO2:Facility [kg](Hourly)_our,NOx:Facility [kg](Hourly)_our,Reward_our,Unnamed: 0_easy,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_easy,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_easy,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_easy,WEST ZONE:Zone Air Temperature [C](TimeStep)_easy,EAST ZONE:Zone Air Temperature [C](TimeStep)_easy,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_easy,CH4:Facility [kg](Hourly)_easy,PM2.5:Facility [kg](Hourly)_easy,SO2:Facility [kg](Hourly)_easy,NOx:Facility [kg](Hourly)_easy,Reward_easy
10,10,01/01  11:00:00,9.4,98380.5793584533,16.257984923486600,26.53555643570920,25.028598374298100,13.464423000000000,14.027283000000000,5.095780750000000,5.332833250000000,0.0148969604762766,0.0004953344901047,0.0040863081976704,0.3066160224548630,0.1454764252076020,0.6520199490741390,10,9.4,131744.8702,21.77163549,23.41536606,24.90282745,14.909345,14.545354,6.238913033,6.475,0.01994904,0.00066332,0.005472118,0.410600226,0.194812562,-0.188192028
11,11,01/01  12:00:00,10.0,103140.66507860600,17.044617838005100,21.603216200521500,26.94246605242200,11.83345500000000,15.660618000000000,5.196947500000000,5.395976500000000,0.0156177410337731,0.0005193009543035,0.0042840217853187,0.3214514560290010,0.1525152153709180,0.5151694512884690,11,10.0,137802.51,22.77269705,24.12321822,24.94019958,14.88723,14.524232,6.238913033,6.475,0.020866299,0.000693819,0.005723726,0.429479657,0.20377006,-0.262492106
12,12,01/01  13:00:00,10.6,114150.4242459170,18.86404703552150,24.60082228061000,23.152797956604800,10.487642,13.924600000000000,5.056874500000000,5.273096250000000,0.0172848581440633,0.0005747337793476,0.0047413200593596,0.3557648193582300,0.1687954651570190,0.0304553088677654,12,10.6,139703.2385,23.08680391,23.59071,24.96391428,14.887863,14.516262,6.238913033,6.475,0.02115411,0.000703389,0.005802675,0.435403528,0.206580688,-0.288450389
13,13,01/01  14:00:00,11.1,114921.69621231100,18.99150438618270,25.129662632547700,23.588442421934800,18.65145,10.291462000000000,5.12335875,5.449119500000000,0.0174016455026534,0.0005786170417627,0.0047733553957996,0.3581685899408890,0.1699359533434630,0.7833211426914860,13,11.1,139719.227,23.08944611,23.61403594,24.98586071,14.877042,14.507404,6.238913033,6.475,0.021156531,0.00070347,0.005803339,0.435453358,0.20660433,-0.315620592
14,14,01/01  15:00:00,13.9,119608.6285912330,19.7660482692419,25.794543333103100,25.21902822579580,11.626755,14.517595000000000,5.058693500000000,5.359041000000000,0.0181113490524707,0.0006022151876083,0.0049680305067494,0.3727760315000990,0.1768665708710440,0.5151933788141610,14,13.9,136825.0507,22.611166,24.07792214,24.98996548,14.875296,14.503648,6.238913033,6.475,0.02071829,0.000688898,0.005683127,0.426433277,0.20232468,-0.201233075
15,15,01/01  16:00:00,13.9,121725.586659625,20.11588837573460,25.751744398053700,24.24982284331840,14.195444000000000,13.138048,5.17614325,5.33861,0.0184319025690329,0.0006128738191412,0.0050559598843299,0.3793738099119260,0.1799969396299230,0.3727918758661370,15,13.9,128103.3538,21.16985292,24.14323835,24.95241783,14.883357,14.512122,6.238913033,6.475,0.019397635,0.000644985,0.005320865,0.399250961,0.189427813,-0.159939364
16,16,01/01  17:00:00,11.1,118461.94924464100,19.576552581673,26.98299593134260,23.26516396055400,14.309895000000000,9.999999999999990,5.165008,5.346183,0.0179377168476542,0.0005964417937824,0.0049204023544796,0.3692022544134440,0.1751709637371030,0.6375548026703620,16,11.1,128137.5474,21.17550361,24.00419275,24.91614504,14.900749,14.531957,6.238913033,6.475,0.019402813,0.000645157,0.005322285,0.399357529,0.189478375,-0.122207036
17,17,01/01  18:00:00,11.1,114823.9860391520,18.97535718993280,25.15853481691450,25.530033298086700,12.137667000000000,15.620914000000000,5.072752750000000,5.361477750000000,0.0173868500562638,0.0005781250826879,0.0047692969334061,0.3578640633275810,0.1697914682551440,0.5645217576280530,17,11.1,127686.3496,21.10094045,23.95916088,24.88334191,14.912572,14.545969,6.238913033,6.475,0.019334492,0.000642886,0.005303544,0.397951312,0.188811184,-0.084819796
18,18,01/01  19:00:00,10.6,87594.36899732390,14.475498516348700,25.58153757425880,21.448903583229100,10.185847000000000,12.427101,5.17515225,5.381421,0.0132636935196642,0.0004410272066527,0.0036382951842495,0.2729993783991200,0.1295267394555280,-1.21732917589897,18,10.6,108239.2661,17.88719245,21.56018046,24.05910136,15.291508,14.919933,6.238913033,6.475,0.01638978,0.000544972,0.004495796,0.337341917,0.160054572,0.688926281
19,19,01/01  20:00:00,10.6,85941.49542878600,14.202351176366000,22.340080310118700,25.929959395251600,12.863119,13.029963000000000,5.134705,5.30305225,0.0130134124948587,0.0004327051852576,0.0035696418905113,0.2678479804046100,0.1270826174586970,-1.0030675837746300,19,10.6,111006.5939,18.34451008,22.56599346,23.83772619,15.317731,14.971433,6.238913033,6.475,0.016808814,0.000558905,0.004610739,0.345966658,0.164146649,0.707803317
